role_id,title,department,required_skills,nice_to_have_skills,experience_range,seniority,location
R001,Backend Engineer,Engineering,"Python, REST APIs, PostgreSQL, AWS","Kubernetes, Kafka",3-6 years,Mid,Dubai
R002,Sales Development Representative,Sales,"B2B outreach, CRM tools (Salesforce/HubSpot), cold calling","Arabic fluency, SaaS sales experience",1-3 years,Junior,Riyadh
R003,Finance Manager,Finance,"Financial modeling, IFRS, budgeting, Excel/advanced","Power BI, ERP systems (SAP/Oracle)",6-10 years,Senior,Dubai
R004,Data Analyst,Analytics,"SQL, Python/R, data visualization, statistics","Tableau, A/B testing experience",2-4 years,Mid,Dubai
R005,HR Business Partner,HR,"Employee relations, UAE labor law, performance management","Arabic fluency, HRIS systems (Workday/SAP SuccessFactors)",5-8 years,Senior,Abu Dhabi
R006,Product Marketing Manager,Marketing,"Go-to-market strategy, positioning, content creation","B2B SaaS experience, Figma",4-7 years,Mid-Senior,Dubai
R007,Customer Support Specialist,Customer Success,"Ticketing systems (Zendesk), troubleshooting, written communication","Arabic + English bilingual, SaaS product experience",1-3 years,Junior,Cairo
R008,DevOps Engineer,Engineering,"CI/CD pipelines, Docker, Kubernetes, AWS/Azure","Terraform, monitoring tools (Datadog/Prometheus)",4-7 years,Senior,Riyadh
R009,Technical Recruiter,HR,"Full-cycle recruiting, ATS tools, sourcing","Tech hiring experience, LinkedIn Recruiter",2-5 years,Mid,Dubai
R010,Legal Counsel,Legal,"Contract drafting, UAE commercial law, compliance","GCC cross-border experience, bilingual Arabic/English",5-9 years,Senior,Abu Dhabi
