candidate_id,headline,skills,experience_years,past_roles,certifications,education,projects,extra_curriculars,location,notice_period
C083,Technical recruiter with 1 years sourcing engineering talent,"Full-cycle recruiting, ATS tools, Sourcing, LinkedIn Recruiter",1,"Talent Acquisition Specialist, Kitopi (Jeddah) — 2022–Present: relevant accomplishment. | Technical Recruiter, Property Finder (Jeddah) — earlier tenure, 2+ years.",-,"B.A. Human Resources / Psychology, University of Jordan (2012–2017), GPA: 3.1/4.0",Built an internal referral program that lifted hires by 20%,-,"Jeddah, Saudi Arabia",45 days
C056,Product marketer with 7 years driving GTM strategy,"Digital marketing, SEO/SEM, Campaign management, HubSpot",7,"Product Marketing Manager, Bayut (Cairo) — 2021–Present: relevant accomplishment. | Growth Marketing Specialist, Property Finder (Cairo) — earlier tenure, 2+ years.",Google Ads Certified,"B.A. Marketing / Communications, Cairo University (2015–2015), GPA: 2.8/4.0",Led a rebrand project for a regional D2C startup,-,"Cairo, Egypt",2 months
C107,Finance Manager with strong FP&A and GCC market expertise,"Corporate finance, Treasury, Cash flow forecasting, IFRS 9",6,"Financial Controller, Gulf Manufacturing Co. (Alexandria) — 2021–Present: relevant accomplishment. | Finance Manager, Emirates Holdings (Alexandria) — earlier tenure, 2+ years.",-,"MBA / B.Com Accounting, American University of Sharjah (2020–2017), GPA: 3.1/4.0",-,"Board member, local finance professionals' networking group","Alexandria, Egypt",2 weeks notice
C088,"Talent acquisition specialist, tech and startup focus","Full-cycle recruiting, ATS tools, Sourcing, LinkedIn Recruiter",3,"Recruiter, Kitopi (Amman) — 2023–Present: relevant accomplishment. | Recruiter, Property Finder (Amman) — earlier tenure, 2+ years.",-,"B.A. Human Resources / Psychology, Qatar University (2018–2018), GPA: 3.5/4.0",Built an internal referral program that lifted hires by 20%,-,"Amman, Jordan",Immediate
C040,Data-driven analyst with e-commerce and retail background,"SQL, R, Power BI, Data visualization, Excel/advanced",2,"Data Analyst, Majid Al Futtaim (Abu Dhabi) — 2021–Present: relevant accomplishment. | Data Analyst, Talabat (Abu Dhabi) — earlier tenure, 2+ years.",Google Data Analytics Certificate,"B.Sc. Statistics / B.Sc. Computer Science, King Saud University (2015–2016), GPA: 3.6/4.0",-,Guest lecturer at a coding bootcamp,"Abu Dhabi, UAE",90 days notice
C072,"Cloud infrastructure specialist, AWS and Kubernetes focused","CI/CD pipelines, Docker, Kubernetes, AWS, Terraform",4,"DevOps Engineer, Fintech Gulf (Doha) — 2021–Present: relevant accomplishment. | DevOps Engineer, Barq Systems (Doha) — earlier tenure, 2+ years.",AWS Certified DevOps Engineer,"B.Sc. Computer Engineering, American University in Cairo (2017–2019)","Migrated legacy infra to Kubernetes, cut deployment time by 40%",-,"Doha, Qatar",60 days
C003,Backend Engineer with 6+ years building scalable systems,"Node.js, Express, MongoDB, AWS Lambda, Docker, GraphQL",6,"Backend Engineer, Souq Digital (Beirut) — 2022–Present: relevant accomplishment. | Platform Engineer, LogiTrack (Beirut) — earlier tenure, 2+ years.",Certified Kubernetes Administrator,"B.Sc. Computer Science, American University of Sharjah (2010–2023), GPA: 3.3/4.0",Personal project: expense-tracking app using Django + React,"Hackathon winner, regional university competition","Beirut, Lebanon",30 days notice
C025,Finance Manager with strong FP&A and GCC market expertise,"Financial analysis, Excel/advanced, Oracle ERP, Variance analysis",1,"Financial Controller, Chalhoub Group (Abu Dhabi) — 2020–Present: relevant accomplishment. | Finance Manager, Emirates Holdings (Abu Dhabi) — earlier tenure, 2+ years.","CFA Level II Candidate, CMA (Certified)","MBA / B.Com Accounting, American University of Sharjah (2012–2018), GPA: 2.9/4.0",-,Volunteer financial literacy trainer,"Abu Dhabi, UAE",30 days notice
C061,"Bilingual customer success professional, Arabic/English","Live chat support, CRM tools, Escalation handling",2,"Support Agent, Instashop (Alexandria) — 2020–Present: relevant accomplishment. | Support Agent, Fetchr (Alexandria) — earlier tenure, 2+ years.",Zendesk Support Certified,"B.A. English Literature / B.A. Communications, King Saud University (2014–2016)",-,Volunteer translator for a local NGO,"Alexandria, Egypt",2 weeks notice
C122,Product marketer with 5 years driving GTM str,"Brand strategy, Social media, Analytics, Adobe Creative Suite",6,"Marketing Manager, Careem (Alexandria) — 2021–Present: relevant accomplishment. | Growth Marketing Specialist, Kitopi (Alexandria) — earlier tenure, 2+ years.",-,"B.A. Marketing / Communications, King Saud University (2011–2023)",-,Freelance content consultant on the side,"Alexandria, Egypt",30 days notice
C065,"Bilingual customer success professional, Arabic/English","Live chat support, CRM tools, Escalation handling",2,"Customer Support Specialist, Talabat (Amman) — 2020–Present: relevant accomplishment. | Support Agent, Careem (Amman) — earlier tenure, 2+ years.",-,"B.A. English Literature / B.A. Communications, Qatar University (2020–2021)",-,Volunteer translator for a local NGO,"Amman, Jordan",30 days notice
C006,Software Engineer specializing in backend and cloud infrastructure,"Node.js, Express, MongoDB, AWS Lambda, Docker, GraphQL",9,"Backend Engineer, NileTech Solutions (Amman) — 2021–Present: relevant accomplishment. | Backend Engineer, Barq Systems (Amman) — earlier tenure, 2+ years.",AWS Certified Developer – Associate,"B.Sc. Computer Science, Cairo University (2019–2024), GPA: 3.6/4.0",-,-,"Amman, Jordan",60 days
C117,Data-driven analyst with e-commerce and retail background,"SQL, Python, Tableau, Statistics, A/B testing",-2,"Business Intelligence Analyst, Majid Al Futtaim (Dubai) — 2023–Present: relevant accomplishment. | Business Intelligence Analyst, Talabat (Dubai) — earlier tenure, 2+ years.",-,"B.Sc. Statistics / B.Sc. Computer Science, Qatar University (2012–2024)","Kaggle competition, top 15% finish",-,"Dubai, UAE",90 days notice
